Country,Year,Happiness Score,Happiness Rank,Freedom,Generosity,GDP per capita,Health (Life Expectancy),Trust (Government Corruption)
Switzerland,2015,7.587,1,0.66557,0.29678,1.39651,0.94143,0.41978
Iceland,2015,7.561,2,0.62877,0.4363,1.30232,0.94784,0.14145
Denmark,2015,7.527,3,0.64938,0.34139,1.32548,0.87464,0.48357
Norway,2015,7.522,4,0.66973,0.34699,1.459,0.88521,0.36503
Canada,2015,7.427,5,0.63297,0.45811,1.32629,0.90563,0.32957
Finland,2015,7.406,6,0.64169,0.23351,1.29025,0.88911,0.41372
Netherlands,2015,7.378,7,0.61576,0.4761,1.32944,0.89284,0.31814
Sweden,2015,7.364,8,0.6598,0.36262,1.33171,0.91087,0.43844
New Zealand,2015,7.286,9,0.63938,0.47501,1.25018,0.90837,0.42922
Australia,2015,7.284,10,0.65124,0.43562,1.33358,0.93156,0.35637
Israel,2015,7.278,11,0.41319,0.33172,1.22857,0.91387,0.07785
Costa Rica,2015,7.226,12,0.63376,0.25497,0.95578,0.86027,0.10583
Austria,2015,7.2,13,0.62433,0.33088,1.33723,0.89042,0.18676
Mexico,2015,7.187,14,0.48181,0.14074,1.02054,0.81444,0.21312
United States,2015,7.119,15,0.54604,0.40105,1.39451,0.86179,0.1589
Brazil,2015,6.983,16,0.49049,0.14574,0.98124,0.69702,0.17521
Luxembourg,2015,6.946,17,0.61583,0.28034,1.56391,0.91894,0.37798
Ireland,2015,6.94,18,0.61777,0.45901,1.33596,0.89533,0.28703
Belgium,2015,6.937,19,0.5845,0.2225,1.30782,0.89667,0.2254
United Arab Emirates,2015,6.901,20,0.64157,0.26428,1.42727,0.80925,0.38583
United Kingdom,2015,6.867,21,0.59625,0.51912,1.26637,0.90943,0.32067
Venezuela,2015,6.81,23,0.42908,0.05841,1.04424,0.72052,0.11069
Singapore,2015,6.798,24,0.54252,0.31105,1.52186,1.02525,0.4921
Panama,2015,6.786,25,0.5421,0.24434,1.06353,0.79661,0.0927
Germany,2015,6.75,26,0.61477,0.28214,1.32792,0.89186,0.21843
Chile,2015,6.67,27,0.44132,0.33363,1.10715,0.85857,0.12869
Qatar,2015,6.611,28,0.6404,0.32573,1.69042,0.79733,0.52208
France,2015,6.575,29,0.55011,0.12332,1.27778,0.94579,0.20646
Argentina,2015,6.574,30,0.44974,0.11451,1.05351,0.78723,0.08484
Czech Republic,2015,6.505,31,0.46364,0.10686,1.17898,0.84483,0.02652
Uruguay,2015,6.485,32,0.60362,0.2324,1.06166,0.8116,0.24558
Colombia,2015,6.477,33,0.53466,0.18401,0.91861,0.69077,0.0512
Thailand,2015,6.455,34,0.55664,0.5763,0.9669,0.7385,0.03187
Saudi Arabia,2015,6.411,35,0.31048,0.13706,1.39541,0.72025,0.32524
Spain,2015,6.329,36,0.45951,0.18227,1.23011,0.95562,0.06398
Malta,2015,6.302,37,0.60365,0.51752,1.2074,0.88721,0.13586
Taiwan,2015,6.298,38,0.3974,0.25376,1.29098,0.8753,0.08129
Kuwait,2015,6.295,39,0.55499,0.16228,1.55422,0.72492,0.25609
Trinidad and Tobago,2015,6.168,41,0.55884,0.31844,1.21183,0.61483,0.0114
El Salvador,2015,6.13,42,0.4035,0.10692,0.76454,0.67737,0.11776
Guatemala,2015,6.123,43,0.57733,0.27489,0.74553,0.64425,0.09472
Uzbekistan,2015,6.003,44,0.65821,0.22837,0.63244,0.59772,0.30826
Slovakia,2015,5.995,45,0.31751,0.16893,1.16891,0.78902,0.03431
Japan,2015,5.987,46,0.49615,0.10705,1.27074,0.99111,0.1806
South Korea,2015,5.984,47,0.33208,0.18557,1.24461,0.96538,0.07857
Ecuador,2015,5.975,48,0.48574,0.11541,0.86402,0.79075,0.1809
Bahrain,2015,5.96,49,0.45492,0.17362,1.32376,0.74716,0.306
Italy,2015,5.948,50,0.26236,0.22823,1.25114,0.95446,0.02901
Bolivia,2015,5.89,51,0.57414,0.20536,0.68133,0.5392,0.088
Moldova,2015,5.889,52,0.32818,0.20951,0.59448,0.61826,0.01615
Paraguay,2015,5.878,53,0.53899,0.3424,0.75985,0.66098,0.08242
Kazakhstan,2015,5.855,54,0.51649,0.11827,1.12254,0.64368,0.08454
Slovenia,2015,5.848,55,0.60855,0.25328,1.18498,0.87337,0.03787
Lithuania,2015,5.833,56,0.21342,0.02641,1.14723,0.73128,0.01031
Nicaragua,2015,5.828,57,0.55475,0.27815,0.59325,0.74314,0.19317
Peru,2015,5.824,58,0.41496,0.14982,0.90019,0.73017,0.05989
Belarus,2015,5.813,59,0.37938,0.11046,1.03192,0.73608,0.1909
Poland,2015,5.791,60,0.53122,0.16759,1.12555,0.77903,0.04212
Malaysia,2015,5.77,61,0.53024,0.33075,1.12486,0.72394,0.10501
Croatia,2015,5.759,62,0.25883,0.05444,1.08254,0.78805,0.0243
Libya,2015,5.754,63,0.41668,0.18295,1.13145,0.7038,0.11023
Russia,2015,5.716,64,0.36679,0.00199,1.13764,0.66926,0.03005
Jamaica,2015,5.709,65,0.50442,0.2123,0.81038,0.68741,0.02299
Northern Cyprus,2015,5.695,66,0.49027,0.26169,1.20806,0.92356,0.1428
Cyprus,2015,5.689,67,0.40672,0.30638,1.20813,0.92356,0.06146
Algeria,2015,5.605,68,0.28579,0.07822,0.93929,0.61766,0.17383
Kosovo,2015,5.589,69,0.24749,0.2831,0.80148,0.63132,0.04741
